Team,G ,Pts/G ,Yds/G ,PassYds/G ,RushYds/G ,1stD/G ,3rdM ,3rdD% ,4thM ,4thD% ,Pen ,PYds ,TOP 
Denver Broncos,16,37.9,457.3,340.3,117.1,27.2,95,46.3,8,88.9,117,1000,30:31:00
Chicago Bears,16,27.8,381.8,267.6,114.3,21.5,83,42.1,8,61.5,85,708,31:02:00
New England Patriots,16,27.8,384.5,255.4,129.1,23.6,83,37.6,7,46.7,69,625,30:20:00
Philadelphia Eagles,16,27.6,417.3,256.9,160.4,22.2,83,39,7,50,95,846,26:24:00
Dallas Cowboys,16,27.4,341.1,247.1,94,20.3,63,35,4,66.7,102,867,29:01:00
Kansas City Chiefs,16,26.9,337.3,208.8,128.5,20.2,74,34.7,4,36.4,101,774,31:05:00
Cincinnati Bengals,16,26.9,368.2,258.5,109.7,20.6,92,40.9,12,57.1,102,1000,32:49:00
Seattle Seahawks,16,26.1,339,202.3,136.8,19.2,76,37.3,6,54.5,128,1183,30:32:00
Green Bay Packers,16,26.1,400.3,266.8,133.5,21.9,89,41.2,9,69.2,86,801,30:52:00
New Orleans Saints,16,25.9,399.4,307.4,92.1,22.4,97,43.9,9,47.4,95,817,32:40:00
San Francisco 49ers,16,25.4,323.8,186.2,137.6,17.9,77,36.5,7,63.6,103,845,30:34:00
San Diego Chargers,16,24.8,393.3,270.5,122.8,23.3,101,49,5,83.3,95,765,33:35:00
Detroit Lions,16,24.7,392.1,280.1,112,21.9,95,43,5,35.7,110,925,32:21:00
Minnesota Vikings,16,24.4,344.3,214.2,130.1,19.3,78,36.4,10,52.6,70,695,28:27:00
Indianapolis Colts,16,24.4,341.8,232.8,108.9,19.9,80,37.6,3,30,66,576,29:41:00
Arizona Cardinals,16,23.7,346.4,250.1,96.3,20.6,74,35.2,5,55.6,97,744,30:59:00
Pittsburgh Steelers,16,23.7,337.5,251.1,86.4,19.5,82,38,9,60,80,677,30:53:00
Carolina Panthers,16,22.9,316.8,190.2,126.6,19.9,91,43.8,10,76.9,80,671,31:53:00
Tennessee Titans,16,22.6,336.9,218.5,118.4,19.4,94,41.4,11,64.7,101,900,30:16:00
Atlanta Falcons,16,22.1,343.1,265.2,77.9,20.6,89,43,6,42.9,91,788,30:20:00
St. Louis Rams,16,21.8,304.8,195.3,109.5,17.6,73,34.4,6,33.3,123,1009,29:05:00
Buffalo Bills,16,21.2,338.1,193.9,144.2,18.8,83,34,4,28.6,110,952,28:43:00
Washington Redskins,16,20.9,369.7,234.4,135.3,20.6,95,40.4,6,30,99,802,30:53:00
Oakland Raiders,16,20.1,333.8,208.8,125,17.2,78,35,7,58.3,116,912,29:54:00
Baltimore Ravens,16,20,307.4,224.4,83,18.4,92,36.4,6,37.5,112,942,30:20:00
Miami Dolphins,16,19.8,312.9,222.9,90,17.4,76,35,3,25,70,598,28:42:00
Cleveland Browns,16,19.3,338.9,252.5,86.4,18.8,83,35,14,45.2,104,920,28:41:00
New York Giants,16,18.4,307.5,224.3,83.3,17.5,69,32.7,6,50,91,786,29:16:00
New York Jets,16,18.1,318.1,183.3,134.9,17.5,90,39,1,12.5,108,837,30:13:00
Tampa Bay Buccaneers,16,18,277,176.3,100.8,16.8,69,31.2,8,36.4,121,1136,29:36:00
Houston Texans,16,17.3,347.3,238.3,108.9,19.2,83,35.9,6,35.3,112,1138,31:30:00
Jacksonville Jaguars,16,15.4,293.8,215.1,78.8,16.9,70,31.1,13,43.3,96,797,27:22:00
